Index,Predicted Labels,True Labels,Is Predicted Label Incorrect?
221,Motorbikes,Motorbikes,---
222,Motorbikes,Motorbikes,---
223,car_side,car_side,---
224,helicopter,helicopter,---
225,airplanes,airplanes,---
226,Motorbikes,Motorbikes,---
227,Motorbikes,Motorbikes,---
228,grand_piano,grand_piano,---
229,car_side,car_side,---
230,Motorbikes,Motorbikes,---
231,helicopter,helicopter,---
232,helicopter,helicopter,---
233,Motorbikes,Motorbikes,---
234,Motorbikes,Motorbikes,---
235,panda,panda,---
236,Motorbikes,Motorbikes,---
237,Motorbikes,Motorbikes,---
238,Motorbikes,Motorbikes,---
239,Motorbikes,Motorbikes,---
240,Motorbikes,Motorbikes,---
241,airplanes,airplanes,---
242,airplanes,airplanes,---
243,chandelier,chandelier,---
244,brain,brain,---
245,Motorbikes,Motorbikes,---
246,Motorbikes,Motorbikes,---
247,airplanes,airplanes,---
248,cougar_face,cougar_face,---
249,Motorbikes,Motorbikes,---
250,Motorbikes,Motorbikes,---
251,Motorbikes,Motorbikes,---
252,airplanes,airplanes,---
253,Motorbikes,Motorbikes,---
254,Motorbikes,Motorbikes,---
255,airplanes,airplanes,---
256,crab,crab,---
257,airplanes,airplanes,---
258,Motorbikes,Motorbikes,---
259,airplanes,airplanes,---
260,airplanes,airplanes,---
261,Motorbikes,Motorbikes,---
262,chandelier,chandelier,---
263,airplanes,airplanes,---
264,grand_piano,grand_piano,---
265,airplanes,airplanes,---
266,Motorbikes,Motorbikes,---
267,helicopter,helicopter,---
268,airplanes,airplanes,---
269,helicopter,helicopter,---
270,Motorbikes,Motorbikes,---
271,airplanes,airplanes,---
272,airplanes,airplanes,---
273,airplanes,airplanes,---
274,airplanes,airplanes,---
275,chandelier,chandelier,---
276,chandelier,chandelier,---
277,chandelier,chandelier,---
278,Motorbikes,Motorbikes,---
279,Motorbikes,Motorbikes,---
280,Motorbikes,Motorbikes,---
281,airplanes,airplanes,---
282,helicopter,helicopter,---
283,airplanes,airplanes,---
284,airplanes,airplanes,---
285,Motorbikes,Motorbikes,---
286,airplanes,airplanes,---
287,panda,panda,---
288,Motorbikes,Motorbikes,---
289,car_side,car_side,---
290,airplanes,airplanes,---
291,grand_piano,grand_piano,---
292,airplanes,airplanes,---
293,airplanes,airplanes,---
294,airplanes,airplanes,---
295,Motorbikes,Motorbikes,---
296,Motorbikes,Motorbikes,---
297,airplanes,airplanes,---
298,Motorbikes,Motorbikes,---
299,Motorbikes,Motorbikes,---
300,grand_piano,grand_piano,---
301,airplanes,airplanes,---
302,car_side,car_side,---
303,airplanes,airplanes,---
304,Motorbikes,Motorbikes,---
305,Motorbikes,Motorbikes,---
306,brain,brain,---
307,airplanes,airplanes,---
308,Motorbikes,Motorbikes,---
309,airplanes,airplanes,---
310,airplanes,airplanes,---
311,Motorbikes,Motorbikes,---
312,Motorbikes,Motorbikes,---
313,car_side,car_side,---
314,Motorbikes,Motorbikes,---
315,Motorbikes,Motorbikes,---
316,Motorbikes,Motorbikes,---
317,airplanes,airplanes,---
318,airplanes,airplanes,---
319,airplanes,airplanes,---
320,airplanes,airplanes,---
321,brain,cougar_face,Incorrect Prediction
322,car_side,car_side,---
323,cougar_face,cougar_face,---
324,chandelier,chandelier,---
325,airplanes,airplanes,---
326,brain,brain,---
327,airplanes,airplanes,---
328,Motorbikes,Motorbikes,---
329,Motorbikes,Motorbikes,---
330,chandelier,chandelier,---
331,car_side,car_side,---
332,panda,panda,---
333,Motorbikes,Motorbikes,---
334,Motorbikes,Motorbikes,---
335,airplanes,airplanes,---
336,helicopter,car_side,Incorrect Prediction
337,airplanes,airplanes,---
338,airplanes,airplanes,---
339,cougar_face,cougar_face,---
340,airplanes,airplanes,---
341,airplanes,airplanes,---
342,airplanes,airplanes,---
343,helicopter,helicopter,---
344,Motorbikes,Motorbikes,---
